CLID	NAME	SKT009 AML	SKN005 Normal Kidney	SKN003 Normal Kidney	SKN013  Kidney	SKT010 Chromophobe RCCA II	SKT019 Chromophobe RCCA IV	PKT005 Chromophobe RCCA III	SKT014 Oncocytoma	CKT030-Oncocytoma	PKT004 Conventional/granular RCCA II	SKT029-Conventional/granular RCC II	SKT008 Conventional/granular RCCA III	SKT018 Conventional/granular RCCA III	SKT016 Papillary RCCA III	SKT022 Papillary RCCA II	SKT030-Papillary RCC II	PKT001 Conventional/granular RCC III	SKT033-Papillary RCC II	Perth 00-0130 Conventional/clear cell RCC II	PKT003 Conventional/clear RCCA II	SKR012 Conventional/clear RCCA III Thrombus	SKT012 Conventional/clear RCCA III	SKT032-Conventional/clear RCC III	SKR032-Conventional/clear RCC thrombus	CKT002 Conventional/clear RCC III	SKT024 Conventional/clear RCCA II	CKR001 Conventional/clear RCC II Caval Thrombus	CKT001 Conventional/clear RCC II	PKT002 Conventional/clear cell RCCA I	SKT002 Conventional/clear RCCA II	SKT027 Conventional/clear RCCA III	SKT023 Conventional/clear RCCA II	SKT026 Conventional/clear RCCA III	SKT011 Conventional/clear RCCA II	SKT004 Conventional/clear RCCA II	SKT017 Conventional/clear RCCA II	SKT035B-conventional/clear RCC II	Perth 99-1262 Conventional/clear cell RCC II	SKT003 Conventional/clear RCCA III	SKT006 Conventional/clear RCCA II	SKT034-conventional/clear RCC II	Perth 99-1182 Conventional/clear cell RCCA II	CKT006 Conventional/clear RCC I	CKT003 Conventional/clear RCC III
30001	30001	-1.045	-1.415	-0.8944	-0.8931	0.315	1.26	0.8	1.07	0.58	1.01	0.605	-1.015	-0.485	-0.58	-1.085	-1.535	-0.955	-0.22	-0.035	-1.2228	-0.5733	-0.3575	-0.12	-0.08	-0.145	0.74	0.3	0.57	0.625	0.2306	1.395	0.84	0.035	0.7356	-0.37	0.075	0.525	0.465	0.295	0.44	-0.135	0.21	0.08	-1.265
54801	54801	-0.42	-1.737142857	-1.79	-2.4	-2.62	-2.47	-2.74	-2.55	-2.35	-2.28	-2.47	-1.04	-2.43	-1.63	-2.43	-2.43	-2.77	-2.11	0.46	0.43	0.31	1.29	0.63	1.73	2.29	1.9	2.28	2.16	1.77	1.33	2	1.17	0.71	1.16	2.26	0.91	1.55	1.91	1.64	0.87	1.75	1.4	1.47	1.53
25830	25830	0.16	-0.033333333	-0.14125	0.09	0.15	-0.05	-0.79	0.48	0.315555556	0.73	-0.044444444	-0.033333333	2.1	1.87	-0.2	1.34	1.65	0.04	-3.69	-0.85	1.56	2.23	0.096666667	0.104444444	-0.112	-0.2	-1.03	0.17375	-1.62	0.141428571	1.44	-0.638333333	-0.28	-1.32	0.082857143	0.92	0.18	-0.15	-0.95	0.0275	-0.2725	-2.21	0.18	-1.99
204851	204851	-0.69	-0.6325	0.22	0.44	-1.54	-1.01	-0.56	0.21625	0.62	1.58	0.46	0.64	0.183	0.41	0.02	1.03	-0.069	0.8	0.75	-1.87	-0.46	-0.38	-0.166666667	0.221	-0.43375	-0.78	0.25	-0.11	0.26	0.45	-0.47	0.112222222	0.6	-0.25	-0.43	-0.33	0.3	0.57	0.29	0.23	-0.104444444	-0.18	-0.55	-0.31
10570	10570	1.57	0.2	-1.08	-0.13	-0.75	-0.28	0	0.31	-1.38	1.03	1.96	-0.48	0.82	0.76	0.57	-0.22	-0.13	0.98	-2.78	-3.18	2.93	4.09	0.69	-1.48	-0.6	0.16	-1.02	-0.36	-0.47	-0.98	-1.29	-0.204285714	-0.101428571	0.2	-0.19	0.04	-0.35	0.37	-0.02	0.1	-0.103333333	-0.746666667	0.69	-0.32
51129	51129	0.11	-2.5643	-2.335	-3.065	-4.375	-4.32	-3.645	-4.01	-4.29	-3.6	-3.985	-1.095	-3.385	-2.125	-3.96	-3.63	-4.535	-2.775	0.785	1.72	1.355	2.235	1.11	2.475	3.3275	2.38	3.71	3.38	2.475	2.855	2.145	2.12	0.95	1.6172	3.04	2.13	1.785	2.54	2.63	1.765	2.215	2.385	2.595	2.73
8506	8506	1.34	-0.16	-0.34	-0.38	-2.21	-1.37	-1.09	-0.37	-1.08	-0.19	-2.86	0.22	2.35	0.65	-0.44	-0.77	-1.19	0.14	-0.11	-0.21	1.43	1.81	0.23	0.71	1.03	0.17	1.47	0.7	0.32	0.7	0.25	-2.14	-0.84	-0.2	0.17	0.89	0.25	0.51	-0.04	0.42	-0.82	-0.7	0.64	0.96
7852	7852	-0.955	-2.35	-2.255	-2.345	-3.78	-1.8645	-1.74	-2.7006	-3.46	-1.15	-1.375	-1.51	-1.835	-1.285	-0.5	-0.17	-1.43	-0.015	0.71	1.245	1.7	1.43	1.23	1.335	2.205	1.39	2.285	2.68	0.885	1.385	0.825	0.605	0.595	0.665	1.555	1.715	0.32	0.56	0.85	0.992	0.625	-0.065	0.395	1.425
64231	64231	-2.4	-1.937142857	-1.75	-2.13625	-5.94	-4.03	-3.6	-3.00875	-2.612857143	-2.21	-1.3	-2.37	-3.25	-1.74	-2.62	-1.22	-1.43	-0.5	0.58	0.08	1.37	1.158888889	0.67	0.58	2.2	1.64	1.906666667	1.05	1.66	1.62	1.75	1.61	1.65	0.86	1.55	1.34	1.27	2.17	1.71	1.06	0.46	0.6	2.13	0.61
5352	5352	0.125	-1.75	-0.225	-1.445	-0.735	-1.23	-1.33	-1.605	-1.885	-1.78	-0.81	-1.655	-3.58	-0.09	-0.39	-0.53	-1.03	-0.275	2.16	-0.06	1.95	2.24	1.275	1.3	1.335	2.65	2.56	2.355	2.65	-0.055	1.05	0.17	0.905	0.46	-0.955	-0.11	0.44	-0.69	-0.16	-0.33	-0.455	-0.205	0.12	-0.37
5230	5230	-1.4	0	-0.18	-0.37	-0.64	0.56	0.63	0	-0.22	-0.19	-0.31	-1.2	-0.73	-0.88	-1.56	-0.77	0.93	-0.38	-1.49	-1.64	-1.32	-0.77	0.26	0.25	0.55	0.42	0.421111111	1.03	0.7	0.77	1.64	0.81	0.52	0.8	0.61	-0.03	0.76	-0.52	0.77	1.01	0.88	-0.05	0.4	0.37
3708	3708	0.45	-0.05	0.6	0.87	2.34	2.53	1.2	1.62	2.8	1.97	1.73	-1.4	-2.8	-1.37	-1.74	-0.73	-1.98	-1.12	-0.36	-0.25	-0.24	0.211428571	-0.06	-0.85	0.52	0.2	-0.1	0.53	0.03	0.35	-0.27	-0.34	-0.78	-0.65	0.19	0.15	-0.01	-1.3	-0.3	0.01	0	-1.25	-0.02	-0.11
5129	5129	-1.73	-0.85	-0.55	-0.83	-2.37	-2.39	-2.25	-2.03	-2.7	-2.09	-3.19	-1.48	-0.88	-0.74	-1.4	-1.36	-1.27	-0.79	0.41	-1.26	0.93	2.15	0.26	0.87	0.79	0.72	0.82	1.1925	1.26	1.8	1.49	2.25	1.46	1.76	1.14	1.67	-0.52	1.63	2.23	1.72	-0.04	1.68	1.97	1.74
1466	1466	0.43	0.0425	0.66	0.02	-2.48	0.75	-1.03	-2.23	-2.6	-0.38	-0.64	2.12	-1.21	-2.19	-2.07	-1.27	0.11	-1.78	-0.97	1.22	2.33	3.03	1.27	0.94	0.57	0.03	0.69	0.47	0	1.03	0.83	-0.62	-0.33	0.42	0.65	-0.09	0.22	-0.96	0.81	0.78	0.16	-0.12	-0.02	1.47
