""	"MS"	"mL"
"435"	-0.003	-0.001
"4350"	-0.001	0
"4351"	-0.01	-0.007
"4352"	-0.003	0
"4353"	0.001	-0.001
"4354"	0.001	0.005
"4355"	0.006	0.002
"4356"	0.007	0.007
"4357"	-0.004	-0.004
"4358"	-0.012	0.001
"4359"	0	0.001
"4360"	0	0
"4361"	-0.006	-0.003
"4363"	0.005	0.004
"438"	0.001	0
"43847"	0	0.006
"43849"	0.001	0.004
"439"	0.002	0.001
"439914"	-0.001	-0.001
"439915"	0.002	0.001
"439916"	0	-0.001
"439921"	0.006	-0.005
"439927"	-0.001	-0.001
"439934"	0.002	0
"439935"	0	-0.001
"439936"	-0.001	0.001
"439940"	0	0
"439941"	-0.001	-0.005
"439945"	0	-0.001
"439951"	0.001	0.001
"439957"	0	0.001
"439965"	0.001	0
"439985"	0.002	0.001
"439986"	0.001	0.001
"439992"	0.001	0.001
"439996"	0	0
"440"	0.003	-0.007
"440005"	0.001	0
"440015"	0.004	0.005
"440016"	0.001	0.002
"440021"	-0.001	0.005
"440023"	-0.001	0
"440026"	-0.004	0.005
"440030"	0.011	-0.003
"440034"	-0.002	-0.001
"440040"	-0.001	-0.002
"440041"	0.001	0.001
"440044"	0.001	0.001
"440049"	0	0
"440050"	0	-0.002
"440051"	0.001	-0.002
"440053"	0.001	0
"440055"	-0.002	-0.002
"440059"	0	-0.001
"440067"	-0.003	-0.003
"440068"	-0.001	-0.003
"440072"	0.002	-0.001
"440073"	0	0
"440077"	0.001	0.002
"440080"	-0.012	-0.017
"440081"	0.001	0
"440082"	0	0.002
"440087"	0.001	0
"440092"	-0.001	0.001
"440093"	0.004	0.005
"440097"	0.002	-0.002
"440104"	-0.004	0
"440105"	-0.002	-0.003
"440107"	0.001	-0.001
"440131"	-0.001	0
"440132"	0.006	-0.001
"440137"	0	-0.001
"440138"	0.001	-0.001
"440145"	-0.001	-0.004
"440153"	0.001	-0.001
"440157"	0.005	-0.016
"440160"	0.013	-0.004
"440163"	0.001	0.003
"440184"	-0.001	0
"440200"	0.006	-0.002
"440223"	-0.002	0
"440226"	0	-0.003
"440233"	-0.001	0
"440243"	0	0
"440244"	0	-0.002
"440247"	0.003	0.001
"440248"	0.005	-0.001
"440253"	0.002	0.001
"440258"	0.001	0.004
"440261"	0	0
"440266"	-0.001	-0.001
"440267"	-0.004	-0.002
"440268"	0.001	0.001
"440270"	-0.002	-0.003
"440275"	0.001	0
"440277"	0.002	0.002
"440278"	-0.002	0
"440279"	-0.001	-0.001
"440280"	0.003	0.001
"440287"	0.003	0.001
"440291"	-0.001	-0.002
"440292"	-0.001	-0.002
"440295"	0	-0.002
"440296"	0	-0.002
"440307"	-0.001	0
"440309"	0.001	-0.001
"440313"	0	0
"440320"	0	0
"440321"	0	0.002
"440334"	-0.001	0
"440337"	0.002	-0.001
"440338"	-0.002	0
"440341"	0.001	-0.006
"440345"	0.002	-0.002
"440348"	0.004	-0.005
"440349"	-0.003	-0.005
"440350"	0	-0.002
"440352"	-0.002	-0.002
"440354"	0.003	-0.002
"440356"	0	-0.001
"440359"	0.002	-0.001
"440361"	0.001	0.001
"440362"	0.001	0.001
"440366"	0.001	0
"440368"	0	0
"440386"	-0.002	-0.003
"440387"	0.001	0.003
"440389"	-0.001	0
"440396"	0.001	-0.003
"440400"	-0.002	0.002
"440402"	-0.002	-0.002
"440407"	0.001	0.002
"440411"	-0.002	0
"440414"	0	0
"440421"	0.023	0.007
"440422"	0.002	0.002
"440423"	0	-0.001
"440434"	0	0.001
"440435"	0	-0.003
"440438"	-0.001	0
"440446"	0	-0.002
"440456"	0	0
"440465"	-0.002	0.001
"440482"	-0.001	0.018
"440491"	0.003	0.003
"440498"	0.001	0.005
"440503"	0.002	0
"440508"	0.001	0.001
"440509"	0.002	0.001
"440518"	0.001	0.001
"440525"	0.001	0.004
"440533"	0	-0.001
"440539"	0.001	0.001
"440550"	-0.002	-0.003
"440551"	0.001	-0.001
"440556"	-0.001	-0.001
"440558"	-0.003	-0.002
"440561"	0	0
"440567"	0.001	-0.006
"440570"	0	-0.001
"440574"	0	0.001
"440577"	-0.002	-0.003
"440585"	0.001	-0.002
"440589"	0	0
"440590"	-0.001	0.002
"440603"	0	0.005
"440607"	0	0
"440667"	-0.011	0.002
"440670"	0	-0.002
"440672"	0.001	0
"440673"	0.003	0.001
"440675"	0	-0.004
"440685"	0.001	0.003
"440686"	0.005	-0.002
"440687"	0.002	0
"440689"	0.004	-0.002
"440695"	-0.002	-0.006
"440699"	-0.001	-0.002
"440704"	0.002	0.005
"440706"	0	0.002
"440712"	0	0
"440730"	0.001	0.001
"440731"	0.004	0.008
"440732"	0	-0.008
"440733"	-0.001	0
"440737"	-0.003	-0.005
"440738"	0	0
"440742"	0	0
"440748"	0	-0.002
"440757"	0.001	0.003
"440776"	0.001	0.001
"440786"	0.002	0
"440792"	0	0
"440799"	0.001	0
"440804"	0	-0.002
"440816"	-0.004	-0.008
"440820"	0	-0.002
"440822"	0.001	-0.001
"440829"	0	-0.002
"440836"	-0.01	0
"440839"	0.001	0.001
"440848"	0.001	0.001
"440854"	0	-0.003
"440864"	0.001	0.001
"440865"	-0.001	-0.001
"440867"	0	-0.002
"440871"	0	0.002
"440888"	-0.001	-0.001
"440895"	-0.001	-0.001
"440896"	0	-0.001
"440900"	0	-0.008
"440905"	-0.001	0.002
"440910"	-0.007	0.003
"440915"	-0.001	0.003
"440917"	0	0
"440918"	-0.003	-0.001
"440925"	-0.001	0.001
"440926"	0	0.001
"440927"	-0.001	-0.004
"440928"	0	-0.001
"440929"	-0.004	-0.011
"440934"	-0.007	-0.011
"440944"	0.001	-0.001
"440955"	-0.001	-0.001
"440956"	0.002	0.001
"440957"	0.001	0
"440970"	0.001	0.001
"440978"	0	0.001
"440981"	0.001	0.001
"440982"	0	0.002
"440990"	-0.007	-0.02
"440992"	0	-0.001
"440993"	-0.012	0
"440995"	0.002	0
"441005"	0.001	0.002
"441007"	0.001	0.001
"441009"	0.001	-0.001
"441016"	0	-0.002
"441018"	-0.002	0
"441019"	0.003	-0.004
"441024"	0	-0.011
"441027"	0	0.001
"441031"	0	0.001
"441032"	-0.003	-0.003
"441034"	-0.001	-0.002
"441046"	-0.002	0
"441050"	-0.004	-0.003
"441051"	0.001	0.001
"441052"	0	-0.001
"441054"	0.002	0.007
"441056"	0.002	0.003
"441058"	-0.001	0
"441061"	0	0.001
"441066"	-0.001	0.004
"441070"	-0.001	0
"441081"	-0.001	0.002
"441086"	-0.001	-0.003
"441087"	0.003	0.002
"441089"	0.007	0.001
"441094"	0.001	0.002
"441097"	0	0.001
"441098"	0	0.001
"441107"	-0.001	0
"441108"	0.001	-0.001
"441114"	0.001	-0.001
"441116"	-0.003	0.001
"441119"	0	0.001
"441120"	-0.002	-0.003
"441123"	-0.001	-0.003
"441124"	-0.008	-0.016
"441126"	-0.002	-0.002
"441127"	0.002	0.001
"441135"	0.001	0.001
"441136"	-0.002	-0.002
"441140"	0.005	0.006
"441150"	0.003	0.006
"441151"	0.004	-0.002
"441155"	0.014	0.001
"441161"	0	-0.004
"441168"	-0.001	-0.004
"441171"	-0.002	-0.001
"441172"	0.016	-0.001
"441177"	0	0.001
"441178"	-0.001	0
"441179"	-0.001	-0.001
"441191"	0.003	-0.002
"441193"	0.004	0.002
"441194"	0.002	0.001
"441196"	0	0.001
"441205"	-0.001	0
"441208"	0.003	0.004
"441212"	0.001	-0.002
"441233"	-0.002	-0.002
"441237"	-0.001	0.002
"441239"	0.001	0
"441241"	0.005	0.001
"441242"	0.002	0
"441244"	0.001	0
"441246"	-0.001	-0.001
"441249"	-0.001	-0.003
"441251"	0.001	0
"441257"	0.002	0
"441261"	0.001	0.001
"441263"	0.004	0.001
"441268"	0.001	0.004
"441272"	0.001	0
"441273"	0	0
"441282"	-0.003	0.011
"441294"	0.001	0.005
"441295"	0	0.008
"441296"	0	-0.002
"441308"	0.001	0
"441314"	-0.001	-0.004
"441315"	0	-0.003
"441316"	-0.002	-0.005
"441317"	0.002	0.001
"441320"	0.001	-0.001
"441323"	0.001	0.001
"441324"	-0.001	-0.003
"441326"	0.001	0
"441327"	0	-0.003
"441328"	0.002	0.001
"441331"	0.001	0.001
"441332"	0.001	0.001
"441340"	0	0.001
"441342"	0.001	0.001
"441344"	0	-0.001
"441347"	0	-0.001
"441355"	0	0
"441362"	-0.001	-0.001
"441368"	0	0
"441369"	0	-0.001
"441376"	-0.011	-0.024
"441378"	0.001	0.001
"441381"	0.003	0.002
"441385"	-0.001	-0.002
"441389"	0	0
"441390"	0.001	0.001
"441394"	0	-0.001
"441395"	-0.001	-0.003
"441408"	-0.002	-0.004
"441424"	-0.002	-0.001
"441425"	0	0
"441426"	0.002	0.001
"441430"	-0.002	-0.005
"441436"	-0.001	-0.002
"441452"	0	0
"441454"	0	-0.003
"441457"	0.001	0.001
"441459"	-0.002	-0.001
"441461"	0.001	-0.001
"441476"	0	-0.001
"441478"	0.012	0.005
"441488"	-0.003	-0.003
"441502"	0.002	0
"441506"	0	0
"441511"	-0.008	-0.003
"441518"	-0.001	-0.003
"441519"	0.002	0.002
"441520"	0.002	0.002
"441521"	0	0
"441522"	0.004	0.01
"441525"	0.001	0.002
"441528"	0.003	0
"441531"	0.005	0.002
"441543"	-0.001	-0.001
"441546"	0	0.001
"441548"	-0.002	-0.003
"441551"	-0.004	-0.005
"441554"	0.002	0.003
"441581"	0	-0.001
"441582"	0.001	-0.001
"441584"	0.001	0
"441601"	-0.001	-0.001
"441608"	0.002	0.006
"441617"	0	-0.005
"441631"	0.001	-0.001
"441632"	0	0.001
"441639"	0.001	0
"441655"	0.001	0
"441662"	-0.001	-0.001
"441666"	-0.001	-0.002
"441669"	-0.001	-0.002
"441670"	0	-0.003
"441682"	-0.001	-0.002
"441698"	0	-0.002
"441709"	0.001	0.002
"441722"	0	-0.002
"441734"	0.001	0
"441737"	0	0.001
"441743"	0.002	-0.004
"441752"	0.001	0.001
"441759"	-0.001	0
"441762"	-0.001	-0.003
"441763"	-0.004	-0.013
"441771"	-0.002	0.001
"441773"	0.001	-0.002
"441782"	0	-0.002
"441792"	-0.001	-0.002
"441795"	-0.001	-0.002
"441799"	0.002	0.002
"441812"	0	0.002
"441818"	-0.001	0
"441843"	0	0.001
"441847"	0	0.001
"441864"	-0.001	0
"441868"	0.001	0
"441869"	0.002	0.001
"441870"	0	-0.001
"441871"	0	0.001
"441873"	0	0.001
"441874"	0	0.001
"441876"	0	0.001
"441907"	-0.001	-0.002
"441911"	0	0.002
"441920"	0.001	-0.001
"441925"	0	-0.001
"441931"	0.001	-0.001
"441932"	-0.001	-0.003
"441933"	0	0.001
"441956"	0	0.001
"441958"	0.001	0
"441964"	0.001	0.001
"441969"	0.004	0.001
"441996"	0	0.001
"442015"	0	0.001
"442020"	0	-0.001
"442038"	0.001	0.004
"442049"	-0.003	-0.002
"442057"	0	-0.002
"442060"	0.001	-0.001
"442064"	0.001	0.002
"442065"	0	-0.002
"442092"	-0.001	-0.002
"442096"	0	-0.002
"442117"	0	0.004
"442124"	0.002	0.003
"442128"	-0.002	0
"442132"	0.001	-0.001
"442147"	0	0
"442180"	0.002	0.001
"442184"	0	0
"442186"	0.002	0
"442191"	0.002	0.002
"442194"	0	0
"442204"	0.002	0.001
"442206"	-0.001	-0.001
"442208"	0	0
"442213"	0	-0.001
"442229"	0.002	0.004
"442245"	-0.001	-0.001
"442247"	0	0
"442251"	0	0
"442261"	0.001	0.001
"442283"	0.001	-0.002
"442299"	-0.002	0
"442316"	0.001	-0.001
"442329"	-0.002	-0.002
"442361"	0	-0.001
"442366"	-0.001	-0.002
"442382"	-0.001	-0.001
"442388"	-0.003	-0.002
"442403"	-0.001	0
"442406"	-0.001	0.001
"442421"	0	0.001
"442423"	0	0.001
"442424"	-0.001	0
"442425"	0.001	-0.001
"442428"	0.001	0.003
"442444"	0.001	0
"442446"	0.001	0
"442448"	0	-0.001
"442465"	-0.001	0.003
"442474"	-0.002	0
"442480"	-0.002	-0.002
"442511"	-0.002	0
"442512"	-0.002	-0.001
"442519"	0	0
"442535"	0.001	0
"442560"	0.001	0.002
"442570"	0	0.001
"442572"	0.001	0
"442578"	0.001	-0.006
"442580"	0.001	0.002
"442582"	0.003	0.003
"442590"	0.002	-0.001
"442597"	-0.004	-0.006
"442606"	0	0.001
"442609"	0.007	0.003
"442710"	0.001	-0.001
"442711"	-0.002	-0.003
"442715"	0	0
"442720"	0	0
"442721"	-0.002	-0.001
"442726"	0.002	-0.004
"442867"	0.003	0
"442868"	0	0
"443"	-0.001	0
"4430"	0.005	0.003
"4435"	0.001	0.035
"4436"	-0.001	-0.001
"4437"	-0.003	-0.002
"4438"	-0.001	-0.002
"4439"	-0.006	-0.003
"444"	0.006	0.013
"4440"	0.01	-0.002
"444882"	-0.004	-0.002
"445"	-0.014	-0.016
"445328"	0.005	0.007
"445329"	-0.004	-0.006
"445347"	0.002	0.004
"445372"	-0.001	-0.001
"445571"	0.001	0
"445582"	0	0
"445815"	0.007	-0.003
"4477"	0	0.004
"4478"	-0.002	-0.01
"4481"	0.001	0.001
"4482"	-0.009	-0.004
"4485"	-0.005	-0.004
"4486"	-0.015	0.006
"4487"	0.017	0.001
"4488"	0.002	0.01
"448831"	0	-0.001
"448834"	0	-0.001
"4489"	0	-0.001
"448961"	-0.001	-0.002
"4490"	-0.001	-0.001
"4493"	0.016	-0.002
"4494"	0.003	-0.006
"4495"	0.014	-0.01
"4496"	0.002	-0.003
"4498"	0.003	-0.002
"4499"	0.026	0.003
"4500"	0.003	-0.005
"4501"	-0.001	-0.014
"4502"	0.001	0
"4504"	0.001	-0.002
"4507"	0.004	-0.002
"4515"	0.001	0.003
"4520"	0.006	-0.001
"4521"	-0.006	-0.004
"4522"	0	-0.007
"4524"	0.002	0.004
"4528"	-0.006	-0.005
"4534"	-0.005	0.003
"4542"	-0.007	-0.005
"4543"	0.002	0
"4544"	0	-0.001
"4547"	0.001	0.001
"4548"	0	-0.001
"4552"	0	0
"4580"	-0.003	0.003
"4582"	-0.024	0.017
"4583"	-0.002	-0.001
"4585"	-0.002	0.002
"4586"	0	0.032
"4587"	-0.001	-0.002
"4588"	-0.001	0
"4589"	0	0.003
"4591"	-0.004	-0.002
"4593"	-0.001	0.001
"4594"	-0.005	-0.001
"4595"	-0.003	-0.001
"4597"	-0.015	-0.003
"4598"	-0.007	-0.007
"4599"	-0.006	0.003
"460"	0.003	0.003
"4600"	0.002	-0.002
"4601"	-0.001	0.001
"4602"	-0.001	0.026
"4604"	-0.008	0.017
"4605"	0.002	-0.001
"4606"	0	0
"4607"	0	0
"4608"	-0.008	-0.017
"4609"	0.007	0.001
"4610"	-0.001	-0.001
"4613"	0.006	0.002
"4615"	-0.008	0.002
"4616"	0.011	0.019
"4617"	0	0.001
"4618"	0	-0.001
"4619"	0.002	0.001
"462"	0	0.005
"4620"	-0.003	-0.004
"4621"	0	-0.01
"4622"	0.002	0.002
"4624"	-0.001	-0.002
"4625"	-0.001	-0.003
"4626"	0	0.004
"4627"	-0.001	-0.002
"4628"	0.005	0.002
"4629"	0.04	0.02
"463"	0.004	0.004
"4632"	0.001	0.002
"4633"	-0.001	-0.004
"4634"	0.001	0
"4635"	0.003	-0.001
"4636"	-0.008	-0.003
"4637"	0	-0.001
"4638"	0.023	0.001
"4640"	0	-0.003
"4641"	0	0.003
"4642"	-0.003	-0.006
"4643"	-0.002	-0.002
"4644"	-0.003	0.003
"4645"	-0.022	-0.008
"4646"	-0.02	0.01
"4647"	-0.003	0.004
"4648"	0	0
"4649"	-0.001	-0.001
"4650"	0.005	-0.004
"4651"	0.006	0.004
"4653"	0.001	0
"4654"	0.001	0
"4656"	-0.001	-0.002
"4659"	0.007	0.003
"466"	0.004	0.004
"4660"	0.003	0
"4661"	0.004	0
"4664"	-0.001	0.002
"4665"	0.011	0.008
"4666"	-0.002	-0.001
"4668"	-0.005	-0.003
"4669"	-0.005	0
"467"	-0.006	0.014
"4670"	0.003	-0.003
"4671"	0	0
"4673"	0.003	-0.007
"4674"	0.006	-0.001
"4675"	0.009	0.001
"4676"	0.004	0.005
"4677"	-0.001	-0.004
"4678"	0.002	-0.005
"468"	0.003	0.002
"4680"	-0.036	-0.002
"4681"	0.008	0.004
"4682"	-0.004	-0.004
"4683"	-0.007	-0.005
"4684"	0	0.003
"4685"	0	0.013
"4686"	0.001	-0.002
"4687"	0	-0.003
"4688"	0.001	0
"4689"	0.006	0
"4690"	-0.003	-0.008
"4691"	0.006	-0.002
"4692"	0.022	-0.011
"4693"	-0.011	-0.002
"4694"	-0.002	0.001
"4696"	-0.005	0.003
"4697"	0.002	0.002
"4698"	0	-0.001
"47"	-0.004	0.004
"4701"	-0.011	-0.004
"4702"	-0.006	-0.003
"4703"	-0.001	-0.001
"4704"	-0.008	-0.006
"4705"	-0.005	-0.003
"4706"	0.004	0
"4707"	-0.003	-0.002
"4708"	-0.001	0
"4709"	-0.006	0.002
"471"	-0.002	0.003
"4710"	0.001	0.004
"4711"	-0.014	-0.004
"4712"	0.006	0.002
"4713"	-0.007	-0.003
"4714"	-0.002	-0.003
"4716"	-0.002	-0.006
"4717"	0	-0.001
"4718"	-0.004	-0.005
"4719"	0	-0.004
"472"	-0.003	-0.003
"4720"	-0.008	-0.003
"4722"	-0.001	-0.003
"4723"	-0.009	-0.005
"4724"	-0.001	-0.002
"4725"	0.002	-0.004
"4726"	0.004	0
"4728"	-0.008	-0.001
"4729"	-0.004	0.005
"473"	0.004	0.01
"4731"	-0.003	-0.006
"4733"	0.001	-0.002
"4734"	-0.001	0.002
"4735"	-0.001	-0.001
"4736"	-0.001	0
"4738"	-0.002	-0.004
"4739"	0.011	0.012
"474"	0.001	0.001
"4741"	0.023	0.001
"474149"	0.002	0.003
"474170"	-0.001	-0.001
"474171"	0.003	0.002
"474338"	0.001	-0.001
"474343"	0	0
"474344"	0.007	-0.002
"474354"	0.001	-0.001
"474381"	0.001	-0.001
"474382"	0	-0.001
"474384"	0	0.003
"4744"	0.023	-0.018
"4745"	0.003	0.004
"4747"	0.003	-0.001
"475"	-0.004	0.002
"4750"	0	-0.003
"4751"	-0.005	-0.005
"4752"	-0.001	0.003
"4753"	0.01	-0.005
"4756"	0.005	0.002
"4758"	-0.006	0.006
"4759"	-0.001	0
"476"	-0.001	-0.002
"4760"	0.001	0.002
"4761"	-0.001	-0.002
"4762"	-0.001	-0.001
"4763"	0	0.001
"477"	0.002	0.006
"4771"	0.002	-0.001
"4772"	-0.001	0.002
"4773"	0.001	0.001
"4774"	0.01	0.018
"4775"	0.004	-0.001
"4776"	0.004	0
"4778"	-0.003	0.01
"4779"	0	0.003
"478"	-0.002	0
"4780"	0.003	0.003
"4781"	0.003	-0.024
"4782"	-0.001	0.001
"4783"	0.005	0.01
"4784"	-0.005	-0.012
"479"	0	0
"4790"	0.002	0
"4791"	0.005	0.002
"4792"	0	-0.001
"4793"	0.009	0.005
"4794"	0.007	0
"4795"	-0.004	-0.005
"4796"	0.001	0
"4798"	0	0.003
"4799"	-0.006	0.002
"48"	-0.006	-0.012
"480"	0.001	0.005
"4800"	0	0.006
"4801"	-0.002	-0.005
"4802"	-0.001	-0.005
"4803"	0.023	-0.006
"4804"	0.023	0.004
"4807"	0	-0.001
"4808"	0.001	0.001
"4809"	0.004	0.001
"481"	-0.015	0.009
"4810"	0.004	0.001
"4811"	0.002	-0.002
"4814"	0.001	0.027
"4815"	-0.002	-0.006
"4817"	-0.004	0.003
"4818"	-0.001	0.004
"482"	-0.001	-0.004
"4820"	-0.005	0.001
"4821"	0	0.001
"4824"	-0.008	0.008
"4825"	-0.002	0.001
"4826"	0.013	-0.001
"4828"	-0.006	-0.011
"4829"	0.003	0
"483"	0.003	-0.002
"4830"	0.006	-0.004
"4831"	-0.001	-0.004
"4832"	-0.009	0.006
"4833"	-0.009	-0.003
"4835"	0	0.018
"4836"	-0.003	-0.007
"4837"	0.016	0.001
"4838"	0.002	0.001
"4839"	0.007	-0.002
"4841"	-0.003	-0.007
"4842"	0	0
"4843"	-0.015	-0.016
"4846"	0.011	-0.002
"4848"	-0.003	-0.001
"4849"	0.004	-0.004
"4850"	0.005	0.002
"4851"	0.006	-0.01
"4852"	-0.012	-0.013
"4853"	0.002	0.004
"4854"	-0.028	0.002
"4855"	0.034	0
"4856"	-0.002	0.001
"4857"	0.002	0.009
"4858"	0.003	0.001
"486"	0	0
"4860"	0.02	0.021
"4861"	0.009	0.016
"4862"	-0.002	-0.014
"4863"	0.007	-0.001
"4864"	0.005	0.001
"4867"	-0.001	-0.001
"4868"	-0.001	0
"4869"	-0.001	-0.002
"487"	0	0.001
"4878"	-0.002	-0.002
"4879"	0.006	-0.003
"488"	0.006	-0.001
"4880"	0.015	0.007
"4881"	0.001	0
"4882"	0.007	0.007
"4883"	0.001	0.002
"4884"	0.011	0.01
"4885"	0.021	0.011
"4886"	0	0
"4887"	0	0.001
"4888"	-0.001	0
"4889"	0.001	-0.001
"489"	0	0.002
"4891"	-0.011	-0.009
"4892"	-0.001	-0.001
"4893"	0.004	0.005
"4897"	0.021	0
"4898"	-0.003	-0.003
"4899"	0.003	0.004
"49"	0	-0.001
"490"	0.006	0.005
"4900"	0.006	0.002
"4901"	0.001	-0.001
"4902"	0	-0.009
"4904"	0.003	-0.004
"4905"	-0.006	0.002
"4907"	0.008	0.002
"4908"	0.038	-0.007
"4909"	0.008	-0.002
"491"	0.002	0.002
"4913"	-0.007	-0.013
"4914"	0.001	-0.001
"4915"	0.007	-0.018
"4916"	0.001	-0.001
"4917"	0.001	0.002
"4919"	0.008	-0.01
"492"	0	-0.001
"4920"	0.005	0.019
"4921"	0.006	-0.01
"4922"	-0.001	0.006
"4923"	0	0
"492303"	-0.001	0.001
"492307"	0.003	0.002
"492311"	0	0.003
"4924"	-0.006	0.001
"4925"	-0.005	0.016
"4926"	0.005	0.003
"4927"	0.001	-0.001
"4928"	0.002	0
"4929"	0.012	0.013
"493"	-0.004	0.011
"4931"	-0.004	-0.004
"4935"	0	-0.001
"493753"	-0.008	-0.008
"493754"	0.006	0.006
"4938"	0.002	0.013
"493829"	-0.002	-0.001
"493856"	-0.004	0.001
"493860"	0.002	0.001
"493861"	0.014	0.007
"493869"	0.013	0.006
"4939"	-0.002	0.012
"493901"	0.001	0
"493911"	-0.005	0.002
"4940"	-0.002	0.009
"494118"	0	-0.002
"494119"	-0.001	-0.001
"494143"	0.005	0.004
"494188"	-0.002	-0.003
"494197"	0.002	0.001
"4942"	-0.004	-0.002
"4943"	0.004	0.001
"494470"	0.021	-0.006
"494513"	-0.003	-0.002
"494514"	-0.016	-0.017
"4946"	-0.001	-0.001
"4948"	0.004	0
"495"	0	0.001
"4950"	-0.002	0.001
"4951"	0.001	0.001
"4952"	-0.009	-0.002
"4953"	0.009	-0.016
"4956"	-0.002	0
"4957"	0.008	0.005
"4958"	0.003	0.001
"496"	-0.001	-0.001
"4967"	-0.003	-0.003
"4968"	0.004	0.003
"4969"	0.002	0.002
"497048"	0	0.011
"497049"	-0.002	-0.003
"497189"	-0.004	-0.007
"497190"	0.001	-0.001
"497256"	0.002	0.001
"4973"	0.003	0.002
"4974"	0.002	0.004
"4975"	0.001	0.003
"4976"	-0.001	-0.003
"497661"	-0.001	0.004
"4978"	0.003	0.003
"498"	-0.006	-0.001
"4982"	-0.038	-0.01
"4983"	-0.001	0.005
"4985"	0.001	0.001
"49854"	0.008	0
"49855"	-0.007	-0.002
"49856"	-0.003	0.001
"4986"	0	0
"49860"	0.004	0.008
"49861"	0.002	0
"4987"	0.001	0
"4988"	0	-0.001
"4990"	0.001	0.002
"4991"	0.001	0.001
"4992"	-0.001	-0.003
"4993"	0	-0.002
"4994"	0	-0.003
"4995"	0.001	0.002
"4998"	-0.001	-0.005
"4999"	0.004	0.002
"50"	-0.005	-0.001
"5000"	0	-0.006
"5001"	-0.005	-0.003
"5002"	-0.007	0.009
"5003"	-0.004	0.001
"5004"	-0.003	0.016
"5005"	-0.001	0.011
"5007"	0	0
"5008"	0.008	0.007
"5009"	0.001	0
"501"	0.001	0
"5010"	0.016	-0.023
"5013"	-0.001	-0.003
"5015"	0	0.001
"5016"	0.009	0
"5017"	-0.005	-0.002
"5018"	-0.007	-0.005
"5019"	0.001	-0.006
"5020"	0.005	0.003
"5021"	0.042	0.003
"5023"	0.001	0.001
"5024"	0.001	0
"5025"	-0.02	0.005
"5026"	0.002	0
"5027"	0	0
"5028"	-0.001	-0.001
"5029"	0	0.004
"5030"	0.001	-0.002
"5031"	0	-0.001
"5032"	0.007	-0.004
"5033"	0.002	0.006
"5034"	-0.004	-0.003
"503497"	-0.001	-0.001
"503542"	0.001	0.001
"503582"	-0.001	0.001
"5036"	0.004	-0.003
"503618"	0.002	0.003
"503632"	0.003	0.003
"503640"	-0.001	0
"503645"	0.001	0.002
"5037"	0	0.004
"503834"	0.003	0.003
"503835"	0.003	-0.002
"503841"	0	0
"504188"	0	-0.002
"504189"	-0.002	-0.003
"504190"	-0.001	-0.001
"504191"	-0.001	-0.001
"5042"	-0.003	-0.003
"5045"	0	-0.008
"5046"	0	0.007
"5047"	0.001	0.005
"5048"	-0.004	-0.012
"50484"	-0.002	0.008
"50485"	-0.015	-0.008
"50486"	-0.001	-0.016
"50487"	-0.007	0.011
"50488"	-0.004	-0.004
"50489"	-0.002	-0.003
"5049"	0.005	0.009
"5050"	-0.014	-0.004
"50506"	0.003	0.005
"50507"	0.004	0.004
"50508"	-0.003	-0.002
"50509"	0.002	0.001
"5051"	-0.014	0.005
"50511"	0.001	0.001
"50512"	-0.015	-0.009
"50514"	0	0.003
"50515"	0.004	0.005
"5052"	0.003	0.001
"5053"	-0.001	0.001
"5054"	0.035	0.001
"5055"	-0.005	-0.01
"5058"	-0.008	0.003
"506"	0.001	0
"50613"	0.002	-0.001
"50614"	0.002	-0.004
"50615"	-0.001	-0.002
"50616"	-0.001	-0.001
"50617"	-0.006	-0.006
"50618"	0.001	0.001
"50619"	0.001	-0.001
"5062"	0.007	0.003
"50624"	0.006	0
"50626"	-0.003	-0.002
"50628"	0.003	-0.002
"5063"	0.003	0
"50632"	0.001	0.012
"50636"	0.003	0.003
"5064"	0.003	0.017
"50640"	0.003	0.003
"50649"	0.002	-0.007
"50650"	-0.007	0.006
"50651"	0	0
"5066"	-0.009	-0.009
"5067"	0.005	0.003
"50674"	-0.001	-0.002
"5068"	0.001	0
"5069"	0	-0.016
"50700"	-0.001	0.001
"5071"	-0.001	0.002
"5073"	-0.009	-0.009
"5074"	0.006	0.013
"5075"	0	0.001
"5076"	0	0
"5077"	0	-0.001
"5078"	0	0
"5079"	0	-0.001
"5080"	0.002	0.003
"50801"	0.001	0
"50804"	0.002	-0.002
"50805"	0.035	0.012
"50807"	0.016	0.003
"50808"	-0.006	0.007
"50809"	0.003	-0.005
"5081"	-0.002	-0.003
"50810"	0.016	0.016
"50813"	-0.006	0.002
"50814"	-0.006	-0.003
"5082"	-0.001	0.003
"5083"	0.003	0.011
"50831"	0	0
"50832"	-0.001	-0.003
"50833"	-0.001	-0.001
"50834"	0.001	-0.001
"50835"	-0.001	-0.002
"50836"	0	0
"50837"	0.001	0.002
"50838"	-0.001	0
"50839"	-0.003	-0.004
"50840"	0.001	-0.001
"50846"	0	0.001
"50848"	-0.007	0.002
"50852"	-0.001	0.001
"50853"	-0.004	0.001
"50854"	-0.003	-0.003
"50855"	0.005	0.01
"50856"	0.007	0.005
"50858"	0	0.001
"50859"	0.001	0.001
"50862"	-0.012	0.008
"50863"	0.006	0.002
"50865"	-0.006	-0.001
"5087"	0.003	0.005
"5089"	0	-0.005
"509"	-0.004	-0.004
"5090"	0.011	0.009
"5091"	-0.003	-0.003
