""	"MS"	"mL"
"10412"	-0.002	-0.003
"10413"	0.006	0.002
"10417"	0	0.002
"10418"	0.032	0.006
"10419"	0.007	-0.001
"10420"	-0.005	-0.005
"10421"	0.006	0.008
"10422"	-0.007	-0.002
"10423"	0	-0.001
"10424"	0.001	0.004
"10425"	0.001	-0.006
"10426"	-0.01	-0.009
"10427"	0	0
"10428"	0	-0.002
"1043"	0.003	0
"10430"	-0.003	-0.003
"10431"	-0.001	-0.001
"10432"	0.004	-0.005
"10434"	-0.001	0.002
"10435"	0.005	0
"10436"	0	-0.002
"10437"	-0.009	0.003
"10438"	-0.001	-0.001
"10439"	0.002	-0.009
"1044"	0.003	0.004
"10440"	0.007	-0.003
"10443"	-0.007	-0.015
"10444"	-0.005	-0.003
"10445"	-0.009	-0.001
"10446"	0.002	0.007
"10447"	-0.006	-0.006
"10449"	-0.006	0.001
"1045"	0.003	0.002
"10450"	-0.001	-0.001
"10451"	-0.012	-0.002
"10452"	0.008	-0.003
"10454"	-0.005	-0.005
"10455"	0.004	0.008
"10456"	-0.006	-0.007
"10457"	0.017	-0.014
"10458"	-0.002	-0.002
"10459"	0.007	0.002
"1046"	0	-0.001
"10460"	-0.008	-0.011
"10461"	0.012	-0.01
"10462"	-0.001	-0.001
"10463"	-0.007	-0.002
"10464"	0.001	-0.005
"10465"	0.003	-0.003
"10466"	-0.006	-0.006
"10467"	-0.005	-0.001
"10468"	0.026	0.003
"10469"	0.002	-0.007
"1047"	-0.002	-0.001
"10471"	0	-0.005
"10472"	-0.001	0
"10473"	0.002	0.001
"10474"	-0.006	0.002
"10475"	-0.002	0.005
"10476"	-0.006	0.001
"10477"	-0.002	0.002
"10478"	0.002	-0.004
"10479"	0	-0.004
"1048"	-0.002	0.005
"10480"	0.001	-0.003
"10481"	0.001	0.001
"10482"	0.005	0.002
"10483"	-0.008	0.001
"10484"	0.002	0.001
"10485"	0.028	0.004
"10486"	-0.011	0.019
"10487"	0.002	0.002
"10488"	0.005	0.006
"10489"	0.003	-0.003
"10490"	0.004	0.005
"10491"	-0.001	-0.001
"10492"	0.006	0.004
"10493"	-0.006	0.002
"10494"	-0.004	-0.005
"10495"	-0.003	-0.003
"10497"	-0.004	0.003
"10498"	0.002	-0.004
"10499"	-0.01	-0.007
"105"	0	-0.001
"1050"	0.009	0.001
"10500"	0.002	-0.003
"10501"	0.002	-0.002
"10505"	0	0.004
"10507"	0.004	0.009
"10509"	-0.015	0.01
"1051"	0	0.001
"10512"	0.032	0.031
"10513"	-0.002	-0.002
"10514"	0.007	-0.004
"10516"	-0.035	-0.031
"10517"	0	0.009
"10518"	0.001	-0.004
"10519"	-0.016	0.012
"1052"	0.003	0.002
"10520"	0.002	0.013
"10521"	0.003	0
"10522"	0	-0.001
"10523"	0.004	-0.004
"10524"	0.001	0
"10525"	0.003	0.001
"10526"	-0.007	-0.001
"10527"	-0.003	0
"10528"	0.007	-0.002
"10529"	-0.011	0.01
"1053"	0.002	0.002
"10530"	-0.002	-0.003
"10531"	-0.009	0.002
"10533"	-0.012	-0.003
"10534"	0.003	-0.001
"10535"	-0.012	-0.008
"10536"	0.004	0
"10537"	-0.018	0.004
"10538"	-0.025	0.036
"10539"	0.005	0.001
"1054"	0.002	0.001
"10540"	-0.011	-0.003
"10541"	0.003	-0.001
"10542"	0.002	0.004
"10544"	0.021	0.011
"10548"	-0.001	0.003
"10549"	-0.001	-0.005
"10550"	-0.018	-0.001
"10551"	-0.007	0.025
"10552"	-0.007	0.002
"10553"	-0.02	-0.004
"10554"	0	-0.002
"10555"	0.006	0.018
"10556"	0.001	-0.002
"10557"	-0.002	0
"10558"	-0.002	0.001
"10559"	-0.009	0.003
"1056"	0.003	-0.001
"10560"	0.001	-0.002
"10561"	-0.004	-0.004
"10562"	-0.045	-0.033
"10563"	-0.014	-0.001
"10564"	-0.003	0.01
"10565"	-0.007	0.001
"10566"	0	-0.001
"10567"	0.002	0.006
"10568"	-0.037	-0.043
"10569"	-0.003	0.004
"1057"	-0.001	0
"10570"	0.017	-0.008
"10571"	-0.001	-0.004
"10572"	0.001	-0.001
"10573"	0.004	-0.002
"10574"	0	-0.003
"10575"	-0.003	-0.015
"10576"	0.001	-0.004
"10577"	-0.001	-0.001
"10578"	0	0.001
"10579"	-0.008	0.007
"1058"	-0.007	-0.006
"10580"	0.004	-0.013
"10581"	0.004	0.009
"10584"	-0.002	0
"10585"	-0.005	-0.002
"10586"	0	-0.001
"10587"	-0.003	-0.001
"10588"	-0.003	0
"10589"	0.01	0.003
"1059"	0.001	-0.002
"10590"	0	0.023
"10591"	-0.009	-0.009
"10592"	-0.005	-0.003
"10594"	-0.003	-0.006
"10595"	0	-0.001
"10597"	0.007	0.01
"10598"	0.001	-0.005
"10599"	0	0.001
"1060"	0.003	0.004
"10600"	-0.001	0
"10602"	0.002	-0.009
"10603"	-0.003	0.006
"10605"	-0.002	-0.002
"10606"	0	-0.003
"10607"	0	-0.007
"10608"	-0.012	-0.006
"10609"	0.006	-0.001
"10610"	0.005	0.01
"10611"	-0.008	-0.006
"10612"	0.005	0.003
"10613"	-0.001	-0.003
"10614"	0.006	0.002
"10615"	0.002	0.001
"10616"	-0.007	0
"10617"	-0.007	-0.001
"10618"	-0.003	0.001
"1062"	-0.006	-0.001
"10620"	-0.002	0.017
"10621"	0.001	-0.007
"10622"	0.002	-0.001
"10623"	0	-0.002
"10625"	0.004	-0.001
"10626"	-0.005	0.003
"10627"	0.003	0.007
"10628"	-0.009	-0.007
"10629"	-0.003	-0.003
"1063"	-0.012	-0.012
"10630"	0.02	-0.002
"10631"	0.026	-0.001
"10632"	-0.005	-0.006
"10633"	-0.006	-0.007
"10634"	0.002	0.001
"10635"	-0.016	-0.01
"10636"	0	0.007
"10637"	0	0.004
"10638"	0.007	0.002
"10639"	0	0.001
"10640"	-0.006	-0.001
"10641"	-0.005	0.004
"10642"	-0.001	0
"10643"	0.01	-0.005
"10644"	-0.023	-0.022
"10645"	0.003	-0.001
"10646"	-0.001	-0.001
"10647"	-0.032	0.01
"10648"	-0.001	-0.004
"10650"	0.002	0
"10651"	-0.007	0.001
"10652"	0.002	0
"10653"	0.001	0.011
"10654"	0.004	0.005
"10655"	0.001	-0.001
"10656"	0.006	-0.009
"10657"	-0.002	-0.004
"10658"	0.01	0.007
"10659"	-0.004	-0.009
"1066"	0.011	0.001
"10660"	0.001	0
"10661"	-0.001	-0.001
"10663"	-0.001	0.001
"10664"	0	0.001
"10665"	0	0
"10666"	-0.003	-0.004
"10667"	-0.003	-0.003
"10668"	0.006	0.009
"10669"	-0.01	-0.013
"10670"	0.001	0.003
"10671"	-0.001	0.004
"10672"	0.001	0.006
"10673"	0	0.003
"10675"	0.008	0.003
"10677"	-0.005	-0.005
"10678"	0	0.007
"1068"	0	-0.001
"10681"	0.002	0.004
"10682"	-0.01	-0.002
"10683"	0.013	-0.002
"10686"	-0.001	0.001
"10687"	0.013	0.031
"1069"	-0.007	0.008
"10690"	-0.001	0
"10691"	0.01	0.007
"10692"	0.003	0.002
"10693"	-0.007	-0.001
"10694"	0	-0.003
"10695"	-0.001	0.001
"10699"	0	0.003
"107"	0.013	0.007
"1070"	-0.003	-0.002
"1071"	0.002	0
"10712"	0.001	-0.002
"10713"	0.003	-0.002
"10714"	0.001	0
"10715"	0.003	0
"10716"	-0.001	0
"10717"	-0.01	-0.004
"10718"	-0.006	-0.005
"1072"	0.001	0.002
"10720"	-0.002	0.023
"10721"	-0.013	-0.016
"10723"	0.001	0.002
"10724"	-0.008	-0.002
"10725"	0.008	0.002
"10726"	0.002	0.003
"10728"	0.005	0.003
"1073"	-0.002	-0.001
"10730"	0.001	0.003
"10732"	0.004	-0.001
"10733"	-0.015	-0.006
"10734"	-0.002	-0.003
"10735"	0	-0.002
"10736"	0.001	-0.001
"10737"	0.002	0
"10738"	0.001	0
"10739"	-0.001	-0.002
"10740"	0.003	-0.002
"10741"	-0.001	0.003
"10742"	0.011	0.019
"10743"	0.002	0.002
"10744"	0.001	-0.003
"10745"	0.001	0
"10746"	0.003	-0.001
"10747"	0.004	-0.001
"10748"	-0.005	-0.001
"10749"	0.002	0.002
"1075"	-0.008	-0.02
"10750"	0.004	-0.001
"10752"	0.001	0.001
"10753"	-0.002	0.006
"10755"	-0.011	0.002
"10758"	-0.001	-0.001
"10761"	-0.001	0.014
"10762"	0.003	0.004
"10763"	0.019	-0.02
"10765"	-0.004	0
"10766"	0.007	0.003
"10767"	0.001	0.001
"10768"	-0.002	0.004
"10769"	0.003	0.004
"10771"	0.003	0.004
"10772"	0.006	0.002
"10773"	-0.001	-0.001
"10775"	-0.001	0.002
"10776"	0.002	0.006
"10777"	0.001	0
"10778"	0	-0.004
"10780"	0.003	-0.005
"10781"	-0.002	0
"10782"	-0.002	0.006
"10783"	-0.006	-0.009
"10785"	0.007	0.001
"10786"	0.001	0
"10787"	-0.009	-0.003
"10788"	-0.022	-0.012
"10791"	0.004	0.014
"10793"	-0.002	0.001
"10794"	0.004	0.006
"10795"	0.005	0.004
"10797"	0.007	0.002
"10798"	0	-0.002
"10799"	0.003	-0.003
"108"	0.002	-0.001
"1080"	-0.005	-0.005
"10800"	0.001	0.001
"10801"	0	0.003
"10802"	0.007	0.003
"10803"	-0.002	0
"10804"	-0.006	-0.008
"10806"	-0.008	-0.009
"10807"	0.001	-0.001
"10808"	0.002	0.004
"10809"	-0.007	0.007
"1081"	0.001	0.011
"10810"	-0.001	-0.011
"10811"	-0.014	0.007
"10813"	0.004	-0.007
"10814"	0	-0.002
"10815"	-0.006	0.003
"10817"	-0.007	0.001
"10818"	0.001	0.003
"1082"	0.001	0
"10824"	-0.001	-0.001
"10825"	0	0
"10826"	-0.001	-0.001
"10827"	-0.008	-0.004
"10838"	-0.004	-0.002
"1084"	0.007	0.005
"10840"	-0.01	-0.02
"10841"	0.001	-0.002
"10842"	0.002	0.002
"10844"	-0.008	-0.005
"10845"	-0.006	0.001
"10846"	0.001	0
"10847"	0.003	-0.003
"10848"	-0.001	-0.003
"10849"	0.007	-0.008
"10850"	0.002	0
"10855"	0.004	-0.001
"10856"	0	-0.005
"10857"	0.004	0.004
"10858"	0.002	0
"10859"	0	-0.001
"10861"	0.001	0.001
"10863"	0.001	0.004
"10864"	0.001	0.001
"10865"	-0.003	-0.011
"10866"	-0.014	-0.018
"10867"	0.004	0.003
"10868"	0	-0.001
"10869"	-0.001	-0.003
"1087"	-0.001	-0.001
"10870"	-0.007	0.001
"10871"	-0.002	0.001
"10873"	0	0
"10874"	0.001	0
"10875"	0.015	0.002
"10876"	0	-0.003
"10877"	0.002	-0.002
"10878"	0.001	0.003
"10879"	-0.002	-0.003
"1088"	-0.002	-0.001
"10880"	-0.002	-0.006
"10881"	-0.001	0
"10882"	0.005	0.003
"10884"	0	-0.001
"10885"	0.009	-0.006
"10886"	-0.001	0.01
"10887"	0.001	0
"10888"	0.003	0.007
"1089"	0	0.001
"10890"	-0.002	0.001
"10891"	0.004	0.007
"10892"	0.003	0
"10893"	0.002	0
"10894"	0.008	0.003
"10896"	0.001	-0.001
"10897"	-0.008	-0.003
"10898"	0.004	-0.003
"10899"	0	0.003
"109"	0.003	-0.008
"10900"	0.004	0
"10901"	-0.007	-0.005
"10902"	-0.004	-0.005
"10903"	-0.001	0.009
"10904"	0.011	-0.008
"10905"	-0.004	-0.002
"10906"	-0.009	0.021
"10907"	0.003	-0.007
"10908"	0.002	0.001
"10910"	0.002	-0.003
"10911"	0.001	0
"10912"	0.013	0.028
"10913"	0.006	0
"10914"	-0.002	-0.003
"10915"	0.001	-0.004
"10916"	0	0.013
"10917"	0.001	0.002
"10919"	-0.004	-0.001
"10920"	0.001	0.003
"10921"	0.003	0.001
"10922"	-0.005	-0.006
"10923"	-0.003	-0.006
"10924"	-0.014	-0.006
"10926"	0	0.001
"10927"	0.01	0.001
"10928"	-0.005	-0.004
"10929"	0.001	-0.002
"10930"	-0.001	-0.002
"10933"	0.002	0.003
"10934"	0.001	0.001
"10935"	-0.003	0.009
"10936"	0.009	0.001
"10938"	-0.007	0.009
"10939"	0	-0.004
"10940"	0.008	-0.003
"10941"	0	-0.003
"10942"	0.001	-0.003
"10943"	0	-0.002
"10944"	0.002	0.002
"10945"	-0.006	0
"10946"	0.002	-0.008
"10947"	0.001	-0.007
"10948"	0	0.005
"10949"	0.003	-0.004
"10950"	0.007	0.007
"10951"	0.013	0.006
"10952"	0.002	0.002
"10953"	-0.006	0.011
"10954"	-0.001	0.003
"10955"	-0.008	0.001
"10956"	-0.006	0
"10957"	-0.012	-0.021
"10959"	-0.001	0
"10960"	-0.002	0.002
"10961"	-0.008	0
"10962"	0.024	0.015
"10963"	0.003	-0.005
"10964"	-0.002	-0.013
"10965"	0.005	0.001
"10966"	-0.004	-0.015
"10969"	0.006	0.001
"10970"	-0.002	-0.002
"10971"	0.003	0
"10972"	-0.007	-0.004
"10973"	-0.001	-0.001
"10974"	0.01	0.034
"10975"	-0.001	-0.001
"10978"	0.008	-0.001
"10979"	0.006	-0.001
"10980"	0.004	0
"10981"	0.006	0.008
"10982"	-0.006	-0.011
"10983"	0.001	0
"10985"	0	-0.002
"10987"	-0.001	-0.004
"10988"	0.004	-0.004
"10989"	0.001	-0.002
"10990"	-0.001	-0.002
"10991"	-0.003	-0.002
"10992"	0.001	-0.001
"10993"	-0.001	0
"10994"	-0.003	0.001
"10998"	-0.003	-0.008
"10999"	0.001	0.002
"11000"	0.01	0.006
"11001"	0.001	0.022
"11004"	-0.005	-0.008
"11005"	-0.007	-0.014
"11006"	-0.001	-0.002
"11007"	0.007	0.001
"11009"	0.024	0.006
"1101"	0.002	0.017
"11010"	-0.001	-0.023
"11011"	0	-0.002
"11012"	-0.013	0.003
"11013"	-0.007	-0.014
"11014"	0.004	0.003
"11015"	-0.009	0.007
"11016"	0.002	-0.001
"11017"	0.001	0.007
"11018"	0.004	0.002
"11019"	-0.011	-0.008
"1102"	0.016	0.005
"11020"	-0.001	0.003
"11021"	0.001	-0.001
"11022"	-0.016	-0.003
"11023"	-0.001	-0.002
"11024"	0	-0.001
"11025"	-0.001	0
"11026"	0.001	0
"11027"	-0.001	0.001
"1103"	0.001	0
"11030"	0.004	-0.006
"11031"	-0.006	0.005
"11033"	-0.007	0.008
"11034"	0.002	0.004
"11035"	0.009	0.013
"11036"	0	-0.001
"11037"	0.006	0.001
"11039"	-0.006	0.004
"1104"	-0.004	-0.004
"11040"	0.008	-0.006
"11041"	-0.002	-0.005
"11042"	0	-0.001
"11043"	0.004	0.005
"11044"	0.014	0.004
"11045"	0.003	0.004
"11046"	-0.014	0.001
"11047"	0.005	0.001
"11049"	0	-0.002
"1105"	0.002	-0.003
"11051"	0	-0.003
"11052"	0.002	-0.004
"11054"	-0.002	0.001
"11055"	-0.002	-0.001
"11056"	0.001	0
"11057"	-0.007	-0.006
"11059"	-0.001	0.003
"1106"	0.003	0.007
"11060"	0	0.002
"11061"	0.002	0
"11062"	-0.009	-0.007
"11063"	0.001	0
"11064"	-0.001	0.004
"11065"	-0.017	-0.018
"11066"	-0.007	0
"11067"	-0.013	-0.02
"11068"	-0.012	0.007
"11069"	0.011	0.002
"1107"	0.001	0.001
"11070"	-0.001	-0.001
"11072"	0.008	0.006
"11073"	0.005	0.004
"11074"	0.002	0.002
"11075"	0	-0.001
"11076"	0.008	0.011
"11077"	0.004	-0.002
"11078"	-0.001	0.001
"11079"	-0.001	0.002
"1108"	-0.002	-0.005
"11080"	0.004	0.002
"11081"	0.001	0.001
"11082"	0.003	-0.014
"11083"	0	-0.001
"11085"	0.002	0
"11086"	-0.002	-0.002
"1109"	0	-0.001
"11091"	0.002	-0.002
"11092"	-0.01	-0.003
"11093"	-0.001	-0.001
"11094"	-0.006	0.009
"11095"	0.02	0.003
"11096"	0.03	0.002
"11097"	-0.006	-0.011
"11098"	0.007	0.021
"11099"	0.006	0.012
"111"	0.007	-0.002
"11100"	-0.002	0
"11101"	-0.003	0.001
"11102"	0.001	0.001
"11103"	0.002	0
"11104"	0.003	0.002
"11105"	0.005	0.004
"11107"	0.003	0.001
"11108"	0.002	0.002
"1111"	-0.006	-0.006
"11112"	-0.015	-0.006
"11113"	0.002	0
"11116"	-0.001	0.01
"11117"	0.022	0
"11118"	-0.009	-0.016
"11119"	-0.006	-0.006
"1112"	0.003	-0.008
"11120"	-0.001	0.002
"11122"	0.019	0.009
"11123"	-0.013	-0.002
"11124"	-0.003	-0.009
"11126"	-0.001	-0.001
"11127"	0.002	0.002
"11128"	0.003	-0.007
"11129"	0.004	0.001
"1113"	-0.001	-0.004
"11130"	-0.004	-0.004
"11131"	0.016	0.002
"11132"	0.001	0.001
"11133"	-0.003	-0.001
"11135"	-0.019	-0.009
"11136"	0	0.001
"11137"	-0.001	-0.007
"11138"	-0.02	0.007
"1114"	0.002	0.013
"11140"	0.002	0.001
"11141"	0.007	0.002
"11142"	0.007	0.004
"11143"	0.001	0.001
"11144"	0.003	0.002
"11145"	0.005	0.027
"11146"	0	-0.004
"11147"	-0.003	-0.001
"11148"	-0.002	0
"11149"	0.007	0
"11151"	0.005	-0.006
"11152"	-0.005	-0.001
"11153"	0.007	0.004
"11154"	0.001	-0.001
"11155"	0	0
"11156"	-0.018	-0.002
"11157"	0.003	-0.002
"11158"	-0.007	-0.001
"11159"	-0.004	0
"1116"	-0.018	-0.026
"11160"	-0.006	0.003
"11161"	0.003	-0.005
"11162"	-0.005	-0.006
"11163"	0.002	0.002
"11164"	-0.001	-0.001
"11165"	0.003	0.005
